method,n,theta,p_sel,q_sel,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,20000,0.22314355131420976,0.95,0.65,-0.13657490436941744,0.13976512459493382,0.0,,,0.6000000000000001
lambda-OR,20000,0.22314355131420976,0.95,0.65,0.002798921954094656,0.07828012461612735,0.632,0.0,0.0,0.6000000000000001
naive,20000,0.4054651081081644,0.95,0.65,-0.251925111954993,0.25386064800573477,0.0,,,0.6000000000000001
lambda-OR,20000,0.4054651081081644,0.95,0.65,-0.003800756500265267,0.08356586578915089,0.6,0.0,0.0,0.6000000000000001
naive,20000,0.6931471805599453,0.95,0.65,-0.4310410768950263,0.43199087390237173,0.0,,,0.6000000000000001
lambda-OR,20000,0.6931471805599453,0.95,0.65,0.002694467249402851,0.07881763584482249,0.624,0.0,0.0,0.6000000000000001
naive,20000,1.0986122886681098,0.95,0.65,-0.6974464972748408,0.6979729082208578,0.0,,,0.6000000000000001
lambda-OR,20000,1.0986122886681098,0.95,0.65,-0.004259412070244905,0.08759545516870879,0.592,0.0,0.0,0.6000000000000001
naive,20000,1.3862943611198906,0.95,0.65,-0.8882160968376225,0.8886950802942715,0.0,,,0.6000000000000001
lambda-OR,20000,1.3862943611198906,0.95,0.65,0.016630027688631085,0.10923462772774943,0.568,0.0,0.0,0.6000000000000001
