method,alpha,TP,FP,discoveries,FDR,TPR
noisy_naive,1e-06,406,547,953,0.5739769150052466,0.08458333333333333
lambda_corrected,1e-06,0,10513,10513,1.0,0.0
noisy_naive,1e-05,839,651,1490,0.4369127516778524,0.17479166666666668
lambda_corrected,1e-05,0,13334,13334,1.0,0.0
noisy_naive,0.0001,1575,800,2375,0.3368421052631579,0.328125
lambda_corrected,0.0001,2,13410,13412,0.9998508798091261,0.0004166666666666667
noisy_naive,0.001,2617,1080,3697,0.29212875304300784,0.5452083333333333
lambda_corrected,0.001,31,13529,13560,0.9977138643067847,0.006458333333333333
noisy_naive,0.01,3770,1683,5453,0.3086374472767284,0.7854166666666667
lambda_corrected,0.01,513,13746,14259,0.9640227224910582,0.106875
noisy_naive,0.05,4395,2858,7253,0.39404384392665104,0.915625
lambda_corrected,0.05,2260,14084,16344,0.8617229564366128,0.4708333333333333
noisy_naive_BH,0.00627011193860548,3517,1513,5030,0.3007952286282306,0.7327083333333333
lambda_BH,0.018516519690360875,992,13832,14824,0.9330814894765246,0.20666666666666667
